expertise_segment,preferred_overall,votes,segment_vote_percentage
Beginner,Coffee B,188,33.0
Beginner,Coffee C,144,25.3
Beginner,Coffee D,127,22.3
Beginner,Coffee A,110,19.3
Intermediate,Coffee D,578,33.7
Intermediate,Coffee C,403,23.5
Intermediate,Coffee B,379,22.1
Intermediate,Coffee A,353,20.6
Advanced,Coffee D,619,45.4
Advanced,Coffee A,323,23.7
Advanced,Coffee C,221,16.2
Advanced,Coffee B,201,14.7
Expert,Coffee D,60,50.0
Expert,Coffee A,31,25.8
Expert,Coffee C,16,13.3
Expert,Coffee B,13,10.8
