submission_id,age,gender,education_level,employment_status,number_children,work_from_home,cups_per_day,where_drink,brew_methods,purchase_locations,favorite_drink,preferred_style,preferred_strength,preferred_roast_level,caffeine_preference,expertise,likes_coffee_taste,knows_coffee_source,expertise_segment,expertise_segment_order,monthly_coffee_spend,monthly_spend_band_order,estimated_monthly_spend,most_paid_for_coffee,most_willing_to_pay,cafe_coffee_good_value,equipment_spend,equipment_good_value,is_premium_customer,preferred_abc,preferred_a_or_d,preferred_overall
gMR29l,18-24 years old,,,,,,,,,,Regular drip coffee,Complex,,,,,,,Unknown,5,,,,,,,,,0,,,
BkPN0e,25-34 years old,,,,,,,,Pod/capsule machine (e.g. Keurig/Nespresso),,Iced coffee,Light,,,,,,,Unknown,5,,,,,,,,,0,,,
W5G8jj,25-34 years old,,,,,,,,Bean-to-cup machine,,Regular drip coffee,Complex,,,,,,,Unknown,5,,,,,,,,,0,,,
4xWgGr,35-44 years old,,,,,,,,Coffee brewing machine (e.g. Mr. Coffee),,Iced coffee,Complex,,,,,,,Unknown,5,,,,,,,,,0,,,
QD27Q8,25-34 years old,,,,,,,,Pour over,,Latte,Sweet,,,,,,,Unknown,5,,,,,,,,,0,,,
V0LPeM,55-64 years old,,,,,,,,"Pod/capsule machine (e.g. Keurig/Nespresso), Espresso, French press",,Iced coffee,,,,,,,,Unknown,5,,,,,,,,,0,,,
V0Gaxg,18-24 years old,,,,,,,"At a cafe, At the office, At home, On the go","Pour over, French press, Espresso, Instant coffee, Pod/capsule machine (e.g. Keurig/Nespresso)","National chain (e.g. Starbucks, Dunkin), Local cafe, Drive-thru, Specialty coffee shop, Other",Pourover,Complex,,,,,,,Unknown,5,,,,,,,,,0,,,
AdzRL0,,,,,,,,,,,,,,,,,,,Unknown,5,,,,,,,,,0,,,
LbWda2,25-34 years old,,,,,,Less than 1,At a cafe,,,Regular drip coffee,Light,,,,,,,Unknown,5,,,,,,,,,0,,,
EXQLWN,,,,,,,,,,,,,,,,,,,Unknown,5,,,,,,,,,0,,,
2eNLJg,18-24 years old,,,,,,,,,,,,,,,,,,Unknown,5,,,,,,,,,0,,,
xpa2K9,,,,,,,,,,,,,,,,,,,Unknown,5,,,,,,,,,0,,,
V00RoJ,,,,,,,,,,,,,,,,,,,Unknown,5,,,,,,,,,0,,,
