submission_id,cups_per_day,where_drink,brew_methods,brew_other,purchase_locations,purchase_other,favorite_drink,favorite_specify,additions,additions_other,dairy,sweetener,preferred_style,preferred_strength,preferred_roast_level,caffeine_preference,expertise,reasons_for_drinking,reasons_for_drinking_other,likes_coffee_taste,knows_coffee_source
gMR29l,,,,,,,Regular drip coffee,,No - just black,,,,Complex,,,,,,,,
BkPN0e,,,Pod/capsule machine (e.g. Keurig/Nespresso),,,,Iced coffee,,"Sugar or sweetener, No - just black",,,,Light,,,,,,,,
W5G8jj,,,Bean-to-cup machine,,,,Regular drip coffee,,No - just black,,,,Complex,,,,,,,,
4xWgGr,,,Coffee brewing machine (e.g. Mr. Coffee),,,,Iced coffee,,"No - just black, Cinnamon",,,,Complex,,,,,,,,
QD27Q8,,,Pour over,,,,Latte,,No - just black,,,,Sweet,,,,,,,,
V0LPeM,,,"Pod/capsule machine (e.g. Keurig/Nespresso), Espresso, French press",,,,Iced coffee,,Half & half,,,,,,,,,,,,
V0Gaxg,,"At a cafe, At the office, At home, On the go","Pour over, French press, Espresso, Instant coffee, Pod/capsule machine (e.g. Keurig/Nespresso)",,"National chain (e.g. Starbucks, Dunkin), Local cafe, Drive-thru, Specialty coffee shop, Other",,Pourover,,No - just black,,,,Complex,,,,,,,,
AdzRL0,,,,,,,,,,,,,,,,,,,,,
LbWda2,Less than 1,At a cafe,,,,,Regular drip coffee,,No - just black,,,,Light,,,,,,,,
EXQLWN,,,,,,,,,,,,,,,,,,,,,
2eNLJg,,,,,,,,,,,,,,,,,,,,,
xpa2K9,,,,,,,,,,,,,,,,,,,,,
V00RoJ,,,,,,,,,,,,,,,,,,,,,
7WWB4A,2,"On the go, At a cafe, At home, At the office","Pour over, Coffee brewing machine (e.g. Mr. Coffee), Espresso, Bean-to-cup machine",,"Local cafe, Specialty coffee shop",,Other,cortado,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",,,,Full Bodied,Somewhat light,Light,Full caffeine,,,,,
pKL8aB,1,At the office,,,,,Pourover,,No - just black,,,,Fruity,Somewhat strong,Light,Full caffeine,7,,,,
Zd694B,3,"At home, At the office, At a cafe","Pour over, Espresso, Instant coffee",,,,Pourover,,"No - just black, Milk, dairy alternative, or coffee creamer",,Whole milk,,Bright,Medium,Light,Full caffeine,10,,,,
QAeYZY,3,"At the office, At a cafe",,,,,Cortado,,No - just black,,,,Fruity,Somewhat strong,Blonde,Full caffeine,7,,,,
QA5JYA,1,"At home, At the office, On the go","Pour over, Coffee brewing machine (e.g. Mr. Coffee)",,"National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop",,Regular drip coffee,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,Half and half,"Granulated Sugar, Brown Sugar",Sweet,Somewhat strong,Medium,Full caffeine,6,,,,
Rz5BPj,2,At a cafe,,,,,,,,,,,,,,,,,,,
jyDqva,2,At the office,,,,,Iced coffee,,"Milk, dairy alternative, or coffee creamer",,Oat milk,,Nutty,Somewhat strong,Nordic,Full caffeine,4,,,,
eB7QoJ,3,At home,Pour over,,,,,,,,,,,,,,,,,,
24xzlg,,At home,Other,Aeropress,,,Pourover,,No - just black,,,,Bright,Somewhat light,Light,Full caffeine,6,,,,
DVvoqX,,"At the office, On the go, At home",Espresso,,Local cafe,,Cappuccino,,"Milk, dairy alternative, or coffee creamer",,Oat milk,,Caramalized,Somewhat strong,Medium,Full caffeine,9,,,,
1r2YJQ,More than 4,"At the office, At home, At a cafe, On the go",Coffee extract (e.g. Cometeer),,"National chain (e.g. Starbucks, Dunkin), Specialty coffee shop, Local cafe",,Regular drip coffee,,No - just black,,,,Bold,Very strong,,Full caffeine,8,,,,
24xYOV,1,At home,Pour over,,,,Regular drip coffee,,No - just black,,,,Fruity,Medium,Light,Full caffeine,5,,,,
