submission_id,preferred_abc,preferred_a_or_d,preferred_overall
gMR29l,,,
BkPN0e,,,
W5G8jj,,,
4xWgGr,,,
QD27Q8,,,
V0LPeM,,,
V0Gaxg,,,
AdzRL0,,,
LbWda2,,,
EXQLWN,,,
2eNLJg,,,
xpa2K9,,,
V00RoJ,,,
7WWB4A,,,
pKL8aB,,,
Zd694B,Coffee A,Coffee D,Coffee B
QAeYZY,Coffee C,Coffee D,Coffee D
QA5JYA,Coffee A,Coffee A,Coffee B
Rz5BPj,,,
jyDqva,,Coffee D,Coffee A
eB7QoJ,,,
24xzlg,,,
DVvoqX,,,
1r2YJQ,,,
24xYOV,,,
AlbYao,,,
J2krYz,,,
WAp6ak,,,
aBr18q,,,
42NYWO,,,
6dQ08e,,,
J2kj9J,,,
8dpDNA,,,
EPbVlL,,,
ylqbBg,Coffee B,Coffee A,Coffee B
vNx6A4,,,
KMB2og,,,
qbEQPO,,,
9dJ0O5,,,
BGboZR,,,
oAVNdO,Coffee C,Coffee D,Coffee C
YZzBdN,Coffee A,Coffee A,Coffee A
VZ17Z6,Coffee A,Coffee D,Coffee D
RzBeZj,Coffee A,Coffee A,Coffee A
0Ej0GZ,,,
eBxO4l,,,
WApbkQ,Coffee A,Coffee A,Coffee A
0Ej0WA,Coffee B,Coffee D,Coffee D
9dJYlQ,Coffee C,Coffee D,Coffee D
BGbJzQ,,,
OABqpR,Coffee B,Coffee D,Coffee B
bl41Zg,Coffee C,Coffee A,Coffee D
GrBVrk,Coffee B,Coffee A,Coffee C
WApbYk,Coffee A,Coffee D,Coffee D
eBxG20,Coffee A,Coffee D,Coffee C
24x9NA,,,
NAB2qB,Coffee B,Coffee A,Coffee B
RzBqoJ,Coffee A,Coffee D,Coffee D
jB98xY,,,
LdMxB2,,,
GrBOrz,,,
5dqajd,Coffee A,Coffee D,Coffee D
VZ1W0E,Coffee A,Coffee A,Coffee A
NABN5G,Coffee B,Coffee A,Coffee B
6dQY8o,Coffee A,Coffee D,Coffee D
WAp6va,Coffee B,Coffee D,Coffee B
EPbVGA,Coffee A,Coffee A,
OABqQp,Coffee A,Coffee A,Coffee A
DVvOop,,,
KMBrLz,,,
jB9r21,Coffee A,Coffee D,Coffee D
pLPYLE,Coffee A,Coffee A,Coffee A
oAV8yX,Coffee A,Coffee A,Coffee A
aBrp0W,,,
g5NPxK,Coffee C,Coffee D,Coffee D
bl41kE,Coffee A,Coffee A,Coffee A
GrBO1z,Coffee A,Coffee D,Coffee D
xdN8Q9,Coffee A,Coffee D,Coffee D
vNx8Xv,Coffee B,Coffee A,Coffee B
dY2JPN,Coffee C,Coffee A,Coffee C
MAdjLE,Coffee A,Coffee D,Coffee D
6dQ6xo,Coffee C,Coffee A,Coffee C
7d97lZ,Coffee B,Coffee D,Coffee B
0EjqPQ,Coffee C,Coffee D,Coffee D
BGbJD4,Coffee A,Coffee A,Coffee A
9dJYbp,Coffee A,Coffee A,Coffee D
xdNbJ9,Coffee A,Coffee D,Coffee D
EPbVLl,Coffee C,Coffee A,Coffee C
pLPNQJ,Coffee A,Coffee A,Coffee A
