submission_id,age,gender,gender_specify,education_level,ethnicity_race,ethnicity_race_specify,employment_status,number_children,political_affiliation,work_from_home
gMR29l,18-24 years old,,,,,,,,,
BkPN0e,25-34 years old,,,,,,,,,
W5G8jj,25-34 years old,,,,,,,,,
4xWgGr,35-44 years old,,,,,,,,,
QD27Q8,25-34 years old,,,,,,,,,
V0LPeM,55-64 years old,,,,,,,,,
V0Gaxg,18-24 years old,,,,,,,,,
AdzRL0,,,,,,,,,,
LbWda2,25-34 years old,,,,,,,,,
EXQLWN,,,,,,,,,,
2eNLJg,18-24 years old,,,,,,,,,
xpa2K9,,,,,,,,,,
V00RoJ,,,,,,,,,,
7WWB4A,<18 years old,,,,,,,,,
pKL8aB,25-34 years old,,,,,,,,,
Zd694B,<18 years old,Other (please specify),Cis,Bachelor's degree,Other (please specify),Alaskan native,Employed full-time,More than 3,Democrat,I primarily work from home
QAeYZY,>65 years old,,,,,,,,,
QA5JYA,25-34 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
Rz5BPj,25-34 years old,,,,,,,,,
jyDqva,18-24 years old,,,,,,,,,
eB7QoJ,18-24 years old,,,,,,,,,
24xzlg,18-24 years old,,,,,,,,,
DVvoqX,35-44 years old,,,,,,,,,
1r2YJQ,25-34 years old,,,,,,,,,
24xYOV,45-54 years old,,,,,,,,,
AlbYao,18-24 years old,,,,,,,,,
J2krYz,35-44 years old,,,,,,,,,
WAp6ak,,,,,,,,,,
aBr18q,25-34 years old,,,,,,,,,
42NYWO,18-24 years old,,,,,,,,,
6dQ08e,25-34 years old,,,,,,,,,
J2kj9J,18-24 years old,,,,,,,,,
8dpDNA,18-24 years old,,,,,,,,,
EPbVlL,<18 years old,,,,,,,,,
ylqbBg,45-54 years old,Male,,Master's degree,Other (please specify),Mix,Employed full-time,2,No affiliation,I primarily work from home
vNx6A4,18-24 years old,,,,,,,,,
KMB2og,,,,,,,,,,
qbEQPO,18-24 years old,,,,,,,,,
9dJ0O5,25-34 years old,,,,,,,,,
BGboZR,18-24 years old,,,,,,,,,
oAVNdO,>65 years old,,,,,,,,,
YZzBdN,25-34 years old,Male,,Master's degree,Asian/Pacific Islander,,Unemployed,,Independent,I do a mix of both
VZ17Z6,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,3,No affiliation,I primarily work in person
RzBeZj,45-54 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,3,No affiliation,I primarily work from home
0Ej0GZ,35-44 years old,,,,,,,,,
eBxO4l,,,,,,,,,,
WApbkQ,35-44 years old,Male,,Less than high school,Black/African American,,Unemployed,2,Independent,I do a mix of both
0Ej0WA,45-54 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,More than 3,Republican,I primarily work from home
9dJYlQ,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
BGbJzQ,35-44 years old,,,,,,,,,
OABqpR,25-34 years old,,,,,,,,,
bl41Zg,45-54 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
GrBVrk,25-34 years old,,,,,,,,,
WApbYk,35-44 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,1,No affiliation,I primarily work from home
eBxG20,35-44 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,2,Independent,I do a mix of both
24x9NA,25-34 years old,,,,,,,,,
NAB2qB,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat,I primarily work from home
RzBqoJ,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
jB98xY,35-44 years old,,,,,,,,,
LdMxB2,35-44 years old,,,,,,,,,
GrBOrz,25-34 years old,,,,,,,,,
5dqajd,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
VZ1W0E,35-44 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,2,No affiliation,I primarily work from home
NABN5G,45-54 years old,Female,,,,,,,,I primarily work from home
6dQY8o,25-34 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I primarily work in person
WAp6va,45-54 years old,Male,,Master's degree,Hispanic/Latino,,Employed full-time,3,Independent,I primarily work from home
EPbVGA,25-34 years old,,,,,,,,,
OABqQp,35-44 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work in person
DVvOop,35-44 years old,,,,,,,,,
KMBrLz,25-34 years old,,,,,,,,,
jB9r21,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat,I primarily work from home
pLPYLE,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
oAV8yX,35-44 years old,,,,,,,,,
aBrp0W,18-24 years old,,,,,,,,,
g5NPxK,25-34 years old,Male,,,,,,,,
bl41kE,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
GrBO1z,45-54 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,2,Democrat,I do a mix of both
xdN8Q9,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work from home
vNx8Xv,35-44 years old,Female,,Bachelor's degree,White/Caucasian,,Unemployed,1,Democrat,I primarily work from home
dY2JPN,18-24 years old,Male,,,,,,,,I primarily work from home
MAdjLE,35-44 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
6dQ6xo,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
7d97lZ,25-34 years old,Female,,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I do a mix of both
0EjqPQ,25-34 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,1,No affiliation,I primarily work from home
BGbJD4,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,More than 3,Democrat,I primarily work in person
9dJYbp,25-34 years old,Male,,Master's degree,Hispanic/Latino,,Student,,No affiliation,I primarily work in person
xdNbJ9,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
EPbVLl,45-54 years old,,,,,,,,,I primarily work from home
pLPNQJ,35-44 years old,Female,,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,2,No affiliation,I do a mix of both
AlbMLW,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Independent,I primarily work from home
EPboPq,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work in person
ylq8yW,25-34 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I do a mix of both
J2kEDz,45-54 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,2,Independent,I do a mix of both
24x9Lg,25-34 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
0EjYb6,35-44 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work in person
ZdRb6a,25-34 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Independent,I primarily work from home
WApbdP,25-34 years old,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,1,Democrat,I primarily work from home
24xY69,18-24 years old,Male,,Some college or associate's degree,Asian/Pacific Islander,,Student,,No affiliation,I primarily work from home
RzBqWd,25-34 years old,Male,,,,,,,,I primarily work in person
RzBqLv,25-34 years old,Male,,High school graduate,White/Caucasian,,Employed full-time,,No affiliation,I primarily work in person
oAV8d5,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat,I primarily work from home
oAV8OM,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,More than 3,Independent,I primarily work in person
AlbYyW,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
KMB4kk,25-34 years old,Female,,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I do a mix of both
42N0Kd,18-24 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Independent,I do a mix of both
0Ej0VZ,25-34 years old,Female,,Some college or associate's degree,White/Caucasian,,Employed part-time,,Democrat,I primarily work in person
rlrQQo,35-44 years old,Female,,Master's degree,Other (please specify),mixed,Employed full-time,,Democrat,I primarily work from home
vNx84X,35-44 years old,Male,,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,3,Democrat,I primarily work in person
OABxLk,25-34 years old,Male,,Master's degree,White/Caucasian,,Student,,Independent,I primarily work in person
MAd2V0,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I do a mix of both
8dpbGk,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
zKQ8ja,25-34 years old,Male,,Bachelor's degree,Other (please specify),Mixed,Employed full-time,,,I do a mix of both
YZzBLJ,35-44 years old,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
QABNdl,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,,I primarily work from home
8dpbko,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work from home
XeB6Ee,25-34 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,1,Democrat,I primarily work in person
KMBroK,25-34 years old,Female,,Master's degree,White/Caucasian,,Employed full-time,,No affiliation,I do a mix of both
24x9rg,35-44 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,2,No affiliation,I primarily work from home
dY2JjD,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,1,Democrat,I primarily work in person
LdMjyz,18-24 years old,Male,,High school graduate,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
9dJYM1,55-64 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,More than 3,Republican,I primarily work from home
kYR4rj,25-34 years old,Male,,Bachelor's degree,Other (please specify),White and Hispanic,Employed full-time,,Republican,I do a mix of both
pLPN7q,35-44 years old,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,Democrat,I primarily work from home
6dQ0eO,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
42NlLd,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work from home
LdMxaj,25-34 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work from home
BGbJZ4,35-44 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,I primarily work from home
J2kER7,55-64 years old,Male,,Master's degree,White/Caucasian,,Employed full-time,,Independent,I primarily work in person
eBxgQO,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
J2kELz,25-34 years old,Non-binary,,High school graduate,White/Caucasian,,Employed part-time,,No affiliation,I primarily work in person
LdMjqJ,35-44 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work in person
oAVNeM,45-54 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
oAVZ95,35-44 years old,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat,I do a mix of both
eBxGvE,25-34 years old,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,,No affiliation,
g5NPYO,25-34 years old,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat,I primarily work from home
xdNbxo,45-54 years old,Female,,Some college or associate's degree,White/Caucasian,,Unemployed,,Democrat,I primarily work from home
zKQ8ZZ,35-44 years old,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,2,Democrat,I do a mix of both
