submission_id,monthly_coffee_spend,most_paid_for_coffee,most_willing_to_pay,cafe_coffee_good_value,equipment_spend,equipment_good_value,monthly_spend_band_order,estimated_monthly_spend
gMR29l,,,,,,,,
BkPN0e,,,,,,,,
W5G8jj,,,,,,,,
4xWgGr,,,,,,,,
QD27Q8,,,,,,,,
V0LPeM,,,,,,,,
V0Gaxg,,,,,,,,
AdzRL0,,,,,,,,
LbWda2,,,,,,,,
EXQLWN,,,,,,,,
2eNLJg,,,,,,,,
xpa2K9,,,,,,,,
V00RoJ,,,,,,,,
7WWB4A,,,,,,,,
pKL8aB,,,,,,,,
Zd694B,>$100,,,,,,6,110.0
QAeYZY,,,,,,,,
QA5JYA,$40-$60,,,,,,3,50.0
Rz5BPj,,,,,,,,
jyDqva,,,,,,,,
eB7QoJ,,,,,,,,
24xzlg,,,,,,,,
DVvoqX,,,,,,,,
1r2YJQ,,,,,,,,
24xYOV,,,,,,,,
AlbYao,,,,,,,,
J2krYz,,,,,,,,
WAp6ak,,,,,,,,
aBr18q,,,,,,,,
42NYWO,,,,,,,,
6dQ08e,,,,,,,,
J2kj9J,,,,,,,,
8dpDNA,,,,,,,,
EPbVlL,,,,,,,,
ylqbBg,$20-$40,$4-$6,$8-$10,No,$500-$1000,Yes,2,30.0
vNx6A4,,,,,,,,
KMB2og,,,,,,,,
qbEQPO,,,,,,,,
9dJ0O5,,,,,,,,
BGboZR,,,,,,,,
oAVNdO,,,,,,,,
YZzBdN,$40-$60,$2-$4,More than $20,Yes,$50-$100,Yes,3,50.0
VZ17Z6,$20-$40,$10-$15,More than $20,Yes,$100-$300,Yes,2,30.0
RzBeZj,$40-$60,$10-$15,$15-$20,Yes,$300-$500,Yes,3,50.0
0Ej0GZ,,,,,,,,
eBxO4l,,,,,,,,
WApbkQ,$60-$80,$6-$8,$4-$6,Yes,"More than $1,000",Yes,4,70.0
0Ej0WA,>$100,$6-$8,$8-$10,No,$100-$300,Yes,6,110.0
9dJYlQ,$20-$40,$4-$6,$6-$8,Yes,$50-$100,Yes,2,30.0
BGbJzQ,,,,,,,,
OABqpR,,,,,,,,
bl41Zg,<$20,$8-$10,$8-$10,No,$20-$50,Yes,1,10.0
GrBVrk,,,,,,,,
WApbYk,,$8-$10,$4-$6,Yes,$100-$300,Yes,,
eBxG20,$20-$40,$8-$10,$8-$10,No,"More than $1,000",No,2,30.0
24x9NA,,,,,,,,
NAB2qB,$60-$80,$4-$6,$6-$8,Yes,"More than $1,000",Yes,4,70.0
RzBqoJ,$40-$60,$10-$15,More than $20,Yes,$500-$1000,Yes,3,50.0
jB98xY,,,,,,,,
LdMxB2,,,,,,,,
GrBOrz,,,,,,,,
5dqajd,>$100,$6-$8,More than $20,Yes,$300-$500,No,6,110.0
VZ1W0E,>$100,$8-$10,$10-$15,Yes,$500-$1000,Yes,6,110.0
NABN5G,$40-$60,$6-$8,$6-$8,No,$100-$300,Yes,3,50.0
6dQY8o,>$100,More than $20,More than $20,No,"More than $1,000",Yes,6,110.0
WAp6va,$60-$80,$8-$10,$10-$15,No,"More than $1,000",Yes,4,70.0
EPbVGA,,,,,,,,
